g_norm,y_t,delta_y
107.45697,0.0,0.6
72.38785,0.6,0.08333331
102.05881,0.68333334,-0.68333334
323.67886,0.0,0.175
462.33105,0.175,0.2
258.9884,0.375,0.14166665
101.31634,0.51666665,0.06666666
123.020325,0.5833333,-0.5833333
75.12656,0.0,0.041666668
135.35509,0.041666668,0.425
158.23085,0.46666667,-0.08333334
181.3753,0.38333333,0.2916667
271.3153,0.675,0.050000012
150.42938,0.725,-0.6333333
70.54077,0.09166667,0.41666666
224.59964,0.5083333,-0.325
265.31113,0.18333334,0.34166664
241.38559,0.525,0.15000004
148.06418,0.675,-0.675
324.91537,0.0,0.25833333
423.0721,0.25833333,0.116666675
199.42416,0.375,0.17500001
64.58328,0.55,-0.32500002
98.30056,0.225,0.16666669
94.59915,0.39166668,-0.30833334
129.40247,0.083333336,-0.075
103.36827,0.008333334,0.18333332
54.945427,0.19166666,0.116666675
71.90967,0.30833334,-0.09166667
130.59096,0.21666667,0.475
141.56624,0.69166666,-0.23333332
100.62306,0.45833334,-0.4166667
63.03967,0.041666668,-0.041666668
76.55717,0.0,0.008333334
69.44782,0.008333334,0.075
50.32892,0.083333336,0.19999999
63.28507,0.28333333,0.15
83.96428,0.43333334,-0.09166667
76.0789,0.34166667,-0.15833333
115.87493,0.18333334,-0.16666667
112.062485,0.016666668,0.14166667
89.911064,0.15833333,0.35833332
40.18706,0.51666665,0.13333333
103.85567,0.65,-0.625
120.70625,0.025,0.20833333
142.67796,0.23333333,0.058333322
118.92014,0.29166666,-0.29166666
94.74703,0.0,0.09166667
101.06928,0.09166667,0.38333333
98.57992,0.475,-0.29166666
66.85058,0.18333334,0.44166666
98.574844,0.625,-0.56666666
156.7833,0.058333334,0.075
185.12428,0.13333334,0.44166666
103.03397,0.575,-0.23333332
87.08617,0.34166667,0.17499998
102.59142,0.51666665,-0.041666657
171.54008,0.475,-0.049999982
121.922104,0.425,-0.025000006
103.5326,0.4,0.116666645
116.54184,0.51666665,0.025000036
98.610344,0.5416667,0.0333333
140.83679,0.575,0.041666687
185.88976,0.6166667,-0.26666668
353.72305,0.35,0.0
