x,y,z,risk
-4.3445997,-0.3189198,0.7123753,0.0833333333333333
-5.864231,0.0070950855,0.32088375,0.2166666666666666
-2.6281555,3.229847,3.1213846,0.0916666666666666
-1.1291386,0.8048649,-0.5019845,0.0
-2.4506826,-5.4501233,0.65036124,0.6
3.434256,-2.2297106,-1.372224,0.6833333333333333
-0.98871535,2.6303275,-2.3422914,0.0
-2.6560247,1.8566098,0.6878198,0.175
-1.2285008,4.175132,1.5253818,0.375
-0.4893734,2.8931406,-1.6927375,0.5166666666666667
-2.8523564,-3.8818154,1.510649,0.5833333333333334
0.25835124,-0.06611266,3.6840956,0.0
-0.07693525,-3.6764011,-2.120871,0.0416666666666666
0.7828294,-3.4081013,-0.57427824,0.4666666666666667
-7.0405226,2.8877933,0.88646847,0.3833333333333333
1.3494316,-1.6115501,-0.3331884,0.675
-1.7587395,2.625427,8.607311,0.725
2.7407227,2.4459689,0.49185205,0.0916666666666666
0.8030761,-3.953484,3.6255322,0.5083333333333333
1.8096324,2.698042,2.5521615,0.1833333333333333
1.1535141,0.7842996,-3.0370111,0.525
2.203804,4.3890276,1.0873016,0.675
0.38068932,0.13711338,0.5798516,0.0
3.4705133,-1.7798622,0.2785017,0.2583333333333333
-0.47476637,-1.7584546,-1.5607235,0.375
-0.706717,3.2531412,-1.576303,0.55
4.4415474,-0.64533085,2.8489969,0.225
-2.127984,0.40351337,-0.3122264,0.3916666666666666
1.7423115,2.9543815,0.21281508,0.0833333333333333
6.0604463,0.8163549,-1.3923529,0.0083333333333333
0.9139447,-3.8304749,-6.8179264,0.1916666666666666
0.91698134,-0.9400261,-4.293902,0.3083333333333333
0.69966125,3.0889812,0.36248764,0.2166666666666666
0.5499139,0.89791405,-8.123754,0.6916666666666667
0.024705954,-0.24700376,2.6891375,0.4583333333333333
-0.30073217,0.90332913,0.22631161,0.0416666666666666
-3.8080268,-1.7765211,-6.311078,0.0
-1.8840587,-4.44192,4.6544394,0.0083333333333333
-6.532359,2.4991689,2.5590434,0.0833333333333333
4.037971,-0.32308096,-0.30201325,0.2833333333333333
-2.4750457,5.5460196,-1.695955,0.4333333333333333
4.262102,-4.5341225,-3.0933065,0.3416666666666667
-0.40692788,-0.9895848,-0.7497111,0.1833333333333333
-1.6794088,-1.293106,3.5769403,0.0166666666666666
5.23903,0.48950326,2.1169174,0.1583333333333333
4.0308247,6.185869,0.14560476,0.5166666666666667
0.806156,1.5134652,-0.113847554,0.65
1.8500952,-3.3800678,1.5323255,0.025
-2.1725526,2.0991273,5.056277,0.2333333333333333
1.7990975,6.356459,-2.53507,0.2916666666666667
1.6330186,4.4935822,-4.067734,0.0
6.3792386,1.4301434,3.1378865,0.0916666666666666
-4.240629,-3.4283357,-3.3482704,0.475
2.7812195,-2.3082962,1.4924062,0.1833333333333333
3.0528595,-5.8023863,-1.5032583,0.625
3.5707808,-0.884802,1.7181426,0.0583333333333333
1.104355,-2.238932,1.1739868,0.1333333333333333
0.17829113,-3.7874427,6.1647134,0.575
2.9300888,-3.8552327,0.77721393,0.3416666666666667
-0.4898438,3.1824117,-6.013115,0.5166666666666667
-1.5260836,1.1142913,3.0504603,0.475
1.117631,1.5671864,-0.07142284,0.425
0.47574478,-2.5410452,-2.0622084,0.4
-1.783698,3.9020858,-1.8847685,0.5166666666666667
-5.6904798,-1.9581308,-4.35338,0.5416666666666666
-3.6353083,-3.3321025,0.1709394,0.575
-5.5422454,-3.5891423,0.16793759,0.6166666666666667
