Level,Model,RMSE,Brier,ECE,EvalCount
Base,TGN,0.2839644147167866,0.6156843749305274,0.7846464645454545,11.0
Base,Landscape,0.2636688006641935,0.5819511672120182,0.7628499145454546,11.0
Base,RKHS,0.2402251907088996,0.5447806204609378,0.73808199,11.0
Level 1,TGN,0.2839306925911598,0.615590944665687,0.7845866972727273,11.0
Level 1,Landscape,0.263636530617042,0.5818177526503899,0.7627625654545455,11.0
Level 1,RKHS,0.2187474504602453,0.5106844460127006,0.7146155218181818,11.0
Level 2,TGN,0.2552359266598942,0.5822384140818395,0.763038966,10.0
Level 2,Landscape,0.2289313904936098,0.5397790453894793,0.734683116,10.0
Level 2,RKHS,0.2279391508436868,0.5380083887652598,0.733470546,10.0
